Model,Scenario,Region,Variable,Unit,Year,Value
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2024,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2025,9.722222222
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2026,9.916666667
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2027,10.11111111
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2028,10.30555556
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2029,10.5
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2030,10.69444444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2031,10.78755556
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2032,10.88066667
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2033,10.97377778
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2034,11.06688889
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2035,11.16
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2036,11.088
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2037,11.016
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2038,10.944
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2039,10.872
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2040,10.8
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2041,10.728
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2042,10.656
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2043,10.584
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2044,10.512
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2045,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2046,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2047,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2048,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2049,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,2050,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2015,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2016,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2017,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2018,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2019,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2020,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2021,12.8055
